i,t,c,sys,stage,value
Anhui,2004,rice,single,growing,77.55156013071895
Anhui,2004,rice,single,harvesting,65.31196129032259
Anhui,2004,rice,single,sowing,67.02021666666667
Anhui,2004,soybean,single,growing,78.601
Anhui,2004,soybean,single,harvesting,71.35968032786884
Anhui,2004,soybean,single,sowing,74.38151612903225
Anhui,2004,wheat,winter,growing,69.90767830188679
Anhui,2004,wheat,winter,harvesting,75.62013666666667
Anhui,2004,wheat,winter,sowing,77.75283278688525
Anhui,2005,maize,spring,growing,73.84929673913044
Anhui,2005,maize,spring,harvesting,84.18617741935483
Anhui,2005,maize,spring,sowing,64.3487262295082
Anhui,2005,maize,summer,growing,77.89570217391304
Anhui,2005,maize,summer,harvesting,77.19219344262295
Anhui,2005,maize,summer,sowing,72.17749032258064
Anhui,2005,rice,single,growing,77.64397058823529
Anhui,2005,rice,single,harvesting,72.03558387096774
Anhui,2005,rice,single,sowing,66.16619
Anhui,2005,soybean,single,growing,77.89570217391304
Anhui,2005,soybean,single,harvesting,77.19219344262295
Anhui,2005,soybean,single,sowing,72.17749032258064
Anhui,2005,wheat,winter,growing,70.26813943661972
Anhui,2005,wheat,winter,harvesting,67.74982333333334
Anhui,2005,wheat,winter,sowing,71.35968032786884
Anhui,2006,maize,spring,growing,74.66898804347827
Anhui,2006,maize,spring,harvesting,77.67779032258065
Anhui,2006,maize,spring,sowing,66.67434590163934
Anhui,2006,maize,summer,growing,77.23545760869565
Anhui,2006,maize,summer,harvesting,75.15026557377048
Anhui,2006,maize,summer,sowing,70.06117096774193
Anhui,2006,rice,single,growing,75.67925294117647
Anhui,2006,rice,single,harvesting,73.6386741935484
Anhui,2006,rice,single,sowing,70.25614666666667
Anhui,2006,soybean,single,growing,77.23545760869565
Anhui,2006,soybean,single,harvesting,75.15026557377048
Anhui,2006,soybean,single,sowing,70.06117096774193
Anhui,2006,wheat,winter,growing,70.49283679245283
Anhui,2006,wheat,winter,harvesting,71.50029333333333
Anhui,2006,wheat,winter,sowing,77.19219344262295
Anhui,2007,maize,spring,growing,75.17398695652174
Anhui,2007,maize,spring,harvesting,81.70635483870967
Anhui,2007,maize,spring,sowing,68.91935081967213
Anhui,2007,maize,summer,growing,80.6574793478261
Anhui,2007,maize,summer,harvesting,75.8984049180328
Anhui,2007,maize,summer,sowing,65.43276451612903
Anhui,2007,rice,single,growing,77.1456091503268
Anhui,2007,rice,single,harvesting,73.4009129032258
Anhui,2007,rice,single,sowing,65.61104666666667
Anhui,2007,soybean,single,growing,80.6574793478261
Anhui,2007,soybean,single,harvesting,75.8984049180328
Anhui,2007,soybean,single,sowing,65.43276451612903
Anhui,2007,wheat,winter,growing,69.85864150943397
Anhui,2007,wheat,winter,harvesting,77.64483666666666
Anhui,2007,wheat,winter,sowing,75.15026557377048
Anhui,2008,maize,spring,growing,76.24245
Anhui,2008,maize,spring,harvesting,84.86395161290322
Anhui,2008,maize,spring,sowing,67.4330524590164
Anhui,2008,maize,summer,growing,82.17980978260869
Anhui,2008,maize,summer,harvesting,78.79558524590165
Anhui,2008,maize,summer,sowing,67.2434
Anhui,2008,rice,single,growing,78.92320326797385
Anhui,2008,rice,single,harvesting,76.65704838709678
Anhui,2008,rice,single,sowing,70.92129
Anhui,2008,soybean,single,growing,82.17980978260869
Anhui,2008,soybean,single,harvesting,78.79558524590165
Anhui,2008,soybean,single,sowing,67.2434
Anhui,2008,wheat,winter,growing,70.22943443396227
Anhui,2008,wheat,winter,harvesting,79.11617333333334
Anhui,2008,wheat,winter,sowing,75.8984049180328
Anhui,2009,maize,spring,growing,73.53644565217391
Anhui,2009,maize,spring,harvesting,84.86971612903227
Anhui,2009,maize,spring,sowing,68.88957540983607
Anhui,2009,maize,summer,growing,79.6150597826087
Anhui,2009,maize,summer,harvesting,72.75317049180327
Anhui,2009,maize,summer,sowing,66.82995806451613
Anhui,2009,rice,single,growing,77.52092810457516
Anhui,2009,rice,single,harvesting,63.66308387096774
Anhui,2009,rice,single,sowing,65.79447666666667
Anhui,2009,soybean,single,growing,79.6150597826087
Anhui,2009,soybean,single,harvesting,72.75317049180327
Anhui,2009,soybean,single,sowing,66.82995806451613
Anhui,2009,wheat,winter,growing,68.19588215962442
Anhui,2009,wheat,winter,harvesting,73.17211333333333
Anhui,2009,wheat,winter,sowing,78.79558524590165
Anhui,2010,maize,spring,growing,74.98006195652174
Anhui,2010,maize,spring,harvesting,77.0181129032258
Anhui,2010,maize,spring,sowing,69.63313770491803
Anhui,2010,maize,summer,growing,77.05678586956522
Anhui,2010,maize,summer,harvesting,76.49287213114754
Anhui,2010,maize,summer,sowing,70.85493225806451
Anhui,2010,rice,single,growing,76.84678366013071
Anhui,2010,rice,single,harvesting,70.78175806451613
Anhui,2010,rice,single,sowing,69.08718
Anhui,2010,soybean,single,growing,77.05678586956522
Anhui,2010,soybean,single,harvesting,76.49287213114754
Anhui,2010,soybean,single,sowing,70.85493225806451
Anhui,2010,wheat,winter,growing,71.77006273584905
Anhui,2010,wheat,winter,harvesting,72.37286666666667
Anhui,2010,wheat,winter,sowing,72.75317049180327
Anhui,2011,maize,spring,growing,72.34135108695652
Anhui,2011,maize,spring,harvesting,83.16255161290323
Anhui,2011,maize,spring,sowing,55.67380983606558
Anhui,2011,maize,summer,growing,79.26440760869565
Anhui,2011,maize,summer,harvesting,74.60475081967213
Anhui,2011,maize,summer,sowing,62.6167064516129
Anhui,2011,rice,single,growing,75.40358300653595
Anhui,2011,rice,single,harvesting,72.50274193548387
Anhui,2011,rice,single,sowing,56.18611666666666
Anhui,2011,soybean,single,growing,79.26440760869565
Anhui,2011,soybean,single,harvesting,74.60475081967213
Anhui,2011,soybean,single,sowing,62.6167064516129
Anhui,2011,wheat,winter,growing,58.272742452830194
Anhui,2011,wheat,winter,harvesting,76.02136999999999
Anhui,2011,wheat,winter,sowing,76.49287213114754
Anhui,2012,maize,spring,growing,72.0319152173913
Anhui,2012,maize,spring,harvesting,78.45904838709677
Anhui,2012,maize,spring,sowing,69.22185081967213
Anhui,2012,maize,summer,growing,74.20988369565217
Anhui,2012,maize,summer,harvesting,69.58510163934426
Anhui,2012,maize,summer,sowing,71.99539999999999
Anhui,2012,rice,single,growing,73.79259411764706
Anhui,2012,rice,single,harvesting,64.95454838709676
Anhui,2012,rice,single,sowing,66.65789
Anhui,2012,soybean,single,growing,74.20988369565217
Anhui,2012,soybean,single,harvesting,69.58510163934426
Anhui,2012,soybean,single,sowing,71.99539999999999
Anhui,2012,wheat,winter,growing,70.17997075471698
Anhui,2012,wheat,winter,harvesting,70.67915333333333
Anhui,2012,wheat,winter,sowing,74.60475081967213
Anhui,2013,maize,spring,growing,73.74363152173913
Anhui,2013,maize,spring,harvesting,70.23666451612904
Anhui,2013,maize,spring,sowing,60.78189180327869
Anhui,2013,maize,summer,growing,73.00101304347827
Anhui,2013,maize,summer,harvesting,72.30633606557377
Anhui,2013,maize,summer,sowing,72.44056451612903
Anhui,2013,rice,single,growing,73.57040522875818
Anhui,2013,rice,single,harvesting,68.2633935483871
Anhui,2013,rice,single,sowing,57.88934
Anhui,2013,soybean,single,growing,73.00101304347827
Anhui,2013,soybean,single,harvesting,72.30633606557377
Anhui,2013,soybean,single,sowing,72.44056451612903
Anhui,2013,wheat,winter,growing,68.50029530516433
Anhui,2013,wheat,winter,harvesting,75.7301
Anhui,2013,wheat,winter,sowing,69.58510163934426
Anhui,2014,maize,spring,growing,75.8564097826087
Anhui,2014,maize,spring,harvesting,85.94255161290322
Anhui,2014,maize,spring,sowing,73.8260606557377
Anhui,2014,maize,summer,growing,81.65169782608696
Anhui,2014,maize,summer,harvesting,80.64041147540983
Anhui,2014,maize,summer,sowing,68.74363225806452
Anhui,2014,rice,single,growing,79.92739150326797
Anhui,2014,rice,single,harvesting,75.26396774193549
Anhui,2014,rice,single,sowing,77.6901
Anhui,2014,soybean,single,growing,81.65169782608696
Anhui,2014,soybean,single,harvesting,80.64041147540983
Anhui,2014,soybean,single,sowing,68.74363225806452
Anhui,2014,wheat,winter,growing,70.6741141509434
Anhui,2014,wheat,winter,harvesting,76.89845333333332
Anhui,2014,wheat,winter,sowing,72.30633606557377
Anhui,2015,maize,spring,growing,79.80186847826087
Anhui,2015,maize,spring,harvesting,80.84276774193548
Anhui,2015,maize,spring,sowing,74.26196721311474
Anhui,2015,maize,summer,growing,81.15275652173914
Anhui,2015,maize,summer,harvesting,75.62032950819673
Anhui,2015,maize,summer,sowing,76.83368064516128
Anhui,2015,rice,single,growing,79.70158954248366
Anhui,2015,rice,single,harvesting,73.10950322580645
Anhui,2015,rice,single,sowing,73.85842666666666
Anhui,2015,soybean,single,growing,81.15275652173914
Anhui,2015,soybean,single,harvesting,75.62032950819673
Anhui,2015,soybean,single,sowing,76.83368064516128
Anhui,2015,wheat,winter,growing,71.81375047169811
Anhui,2015,wheat,winter,harvesting,79.97966666666666
Anhui,2015,wheat,winter,sowing,80.64041147540983
Anhui,2016,maize,spring,growing,81.76239565217392
Anhui,2016,maize,spring,harvesting,78.21426129032258
