i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,92
Anhui,1997,maize,spring,harvesting,31
Anhui,1997,maize,spring,sowing,61
Anhui,1997,maize,summer,growing,92
Anhui,1997,maize,summer,harvesting,61
Anhui,1997,maize,summer,sowing,31
Anhui,1997,rice,single,growing,153
Anhui,1997,rice,single,harvesting,31
Anhui,1997,rice,single,sowing,30
Anhui,1997,soybean,single,growing,92
Anhui,1997,soybean,single,harvesting,61
Anhui,1997,soybean,single,sowing,31
Anhui,1998,maize,spring,growing,92
Anhui,1998,maize,spring,harvesting,31
Anhui,1998,maize,spring,sowing,61
Anhui,1998,maize,summer,growing,92
Anhui,1998,maize,summer,harvesting,61
Anhui,1998,maize,summer,sowing,31
Anhui,1998,rice,single,growing,153
Anhui,1998,rice,single,harvesting,31
Anhui,1998,rice,single,sowing,30
Anhui,1998,soybean,single,growing,92
Anhui,1998,soybean,single,harvesting,61
Anhui,1998,soybean,single,sowing,31
Anhui,1998,wheat,winter,growing,212
Anhui,1998,wheat,winter,harvesting,30
Anhui,1998,wheat,winter,sowing,61
Anhui,1999,maize,spring,growing,92
Anhui,1999,maize,spring,harvesting,31
Anhui,1999,maize,spring,sowing,61
Anhui,1999,maize,summer,growing,92
Anhui,1999,maize,summer,harvesting,61
Anhui,1999,maize,summer,sowing,31
Anhui,1999,rice,single,growing,153
Anhui,1999,rice,single,harvesting,31
Anhui,1999,rice,single,sowing,30
Anhui,1999,soybean,single,growing,92
Anhui,1999,soybean,single,harvesting,61
Anhui,1999,soybean,single,sowing,31
Anhui,1999,wheat,winter,growing,212
Anhui,1999,wheat,winter,harvesting,30
Anhui,1999,wheat,winter,sowing,61
Anhui,2000,maize,spring,growing,92
Anhui,2000,maize,spring,harvesting,31
Anhui,2000,maize,spring,sowing,61
Anhui,2000,maize,summer,growing,92
Anhui,2000,maize,summer,harvesting,61
Anhui,2000,maize,summer,sowing,31
Anhui,2000,rice,single,growing,153
Anhui,2000,rice,single,harvesting,31
Anhui,2000,rice,single,sowing,30
Anhui,2000,soybean,single,growing,92
Anhui,2000,soybean,single,harvesting,61
Anhui,2000,soybean,single,sowing,31
Anhui,2000,wheat,winter,growing,212
Anhui,2000,wheat,winter,harvesting,30
Anhui,2000,wheat,winter,sowing,61
Anhui,2001,maize,spring,growing,92
Anhui,2001,maize,spring,harvesting,31
Anhui,2001,maize,spring,sowing,61
Anhui,2001,maize,summer,growing,92
Anhui,2001,maize,summer,harvesting,61
Anhui,2001,maize,summer,sowing,31
Anhui,2001,rice,single,growing,153
Anhui,2001,rice,single,harvesting,31
Anhui,2001,rice,single,sowing,30
Anhui,2001,soybean,single,growing,92
Anhui,2001,soybean,single,harvesting,61
Anhui,2001,soybean,single,sowing,31
Anhui,2001,wheat,winter,growing,213
Anhui,2001,wheat,winter,harvesting,30
Anhui,2001,wheat,winter,sowing,61
Anhui,2002,maize,spring,growing,92
Anhui,2002,maize,spring,harvesting,31
Anhui,2002,maize,spring,sowing,61
Anhui,2002,maize,summer,growing,92
Anhui,2002,maize,summer,harvesting,61
Anhui,2002,maize,summer,sowing,31
Anhui,2002,rice,single,growing,153
Anhui,2002,rice,single,harvesting,31
Anhui,2002,rice,single,sowing,30
Anhui,2002,soybean,single,growing,92
Anhui,2002,soybean,single,harvesting,61
Anhui,2002,soybean,single,sowing,31
Anhui,2002,wheat,winter,growing,212
Anhui,2002,wheat,winter,harvesting,30
Anhui,2002,wheat,winter,sowing,61
Anhui,2003,maize,spring,growing,92
Anhui,2003,maize,spring,harvesting,31
Anhui,2003,maize,spring,sowing,61
Anhui,2003,maize,summer,growing,92
Anhui,2003,maize,summer,harvesting,61
Anhui,2003,maize,summer,sowing,31
Anhui,2003,rice,single,growing,153
Anhui,2003,rice,single,harvesting,31
Anhui,2003,rice,single,sowing,30
Anhui,2003,soybean,single,growing,92
Anhui,2003,soybean,single,harvesting,61
Anhui,2003,soybean,single,sowing,31
Anhui,2003,wheat,winter,growing,212
Anhui,2003,wheat,winter,harvesting,30
Anhui,2003,wheat,winter,sowing,61
Anhui,2004,maize,spring,growing,92
Anhui,2004,maize,spring,harvesting,31
Anhui,2004,maize,spring,sowing,61
Anhui,2004,maize,summer,growing,92
Anhui,2004,maize,summer,harvesting,61
Anhui,2004,maize,summer,sowing,31
Anhui,2004,rice,single,growing,153
Anhui,2004,rice,single,harvesting,31
Anhui,2004,rice,single,sowing,30
Anhui,2004,soybean,single,growing,92
Anhui,2004,soybean,single,harvesting,61
Anhui,2004,soybean,single,sowing,31
Anhui,2004,wheat,winter,growing,212
Anhui,2004,wheat,winter,harvesting,30
Anhui,2004,wheat,winter,sowing,61
Anhui,2005,maize,spring,growing,92
Anhui,2005,maize,spring,harvesting,31
Anhui,2005,maize,spring,sowing,61
Anhui,2005,maize,summer,growing,92
Anhui,2005,maize,summer,harvesting,61
