i,c,t,production_10k_tons
Jilin,maize,2001,1328.4
Jilin,rice,2001,371.2
Jilin,soybean,2001,134.18
Jilin,wheat,2001,11.58
Liaoning,maize,2001,818.68
Liaoning,rice,2001,335.15
Liaoning,soybean,2001,57.37
Liaoning,wheat,2001,15.45
Ningxia,maize,2001,94.8
Ningxia,rice,2001,61.7
Ningxia,soybean,2001,5.9
Ningxia,wheat,2001,83.6
Qinghai,maize,2001,1.2
Qinghai,rice,2001,0.0
Qinghai,soybean,2001,9.3
Qinghai,wheat,2001,51.3
Shaanxi,maize,2001,352.81
Shaanxi,rice,2001,92.05
Shaanxi,soybean,2001,28.74
Shaanxi,wheat,2001,406.63
Shandong,maize,2001,1532.37
Shandong,rice,2001,110.08
Shandong,soybean,2001,94.37
Shandong,wheat,2001,1655.15
Shanghai,maize,2001,3.66
Shanghai,rice,2001,127.38
Shanghai,soybean,2001,2.8
Shanghai,wheat,2001,12.53
Shanxi,maize,2001,309.9
Shanxi,rice,2001,2.3
Shanxi,soybean,2001,34.18
Shanxi,wheat,2001,227.4
Sichuan,maize,2001,452.3
Sichuan,rice,2001,1428.64
Sichuan,soybean,2001,97.13
Sichuan,wheat,2001,448.7
Tianjin,maize,2001,75.19
Tianjin,rice,2001,7.44
Tianjin,soybean,2001,8.48
Tianjin,wheat,2001,45.09
Tibet,maize,2001,1.65
Tibet,rice,2001,0.6
Tibet,soybean,2001,3.18
Tibet,wheat,2001,28.45
Xinjiang,maize,2001,293.76
Xinjiang,rice,2001,56.79
Xinjiang,soybean,2001,28.47
Xinjiang,wheat,2001,370.77
Yunnan,maize,2001,477.3
Yunnan,rice,2001,595.87
Yunnan,soybean,2001,90.66
Yunnan,wheat,2001,137.88
Zhejiang,maize,2001,21.1
Zhejiang,rice,2001,875.6
Zhejiang,soybean,2001,45.42
Zhejiang,wheat,2001,37.07
Anhui,maize,2002,356.8
Anhui,rice,2002,1327.5
Anhui,soybean,2002,147.4
Anhui,wheat,2002,683.7
Beijing,maize,2002,46.1
Beijing,rice,2002,2.9
Beijing,soybean,2002,4.0
Beijing,wheat,2002,24.3
Chongqing,maize,2002,197.4
Chongqing,rice,2002,490.2
Chongqing,soybean,2002,27.8
Chongqing,wheat,2002,93.2
Fujian,maize,2002,11.2
Fujian,rice,2002,557.5
Fujian,soybean,2002,26.4
Fujian,wheat,2002,6.7
Gansu,maize,2002,219.16
Gansu,rice,2002,5.56
Gansu,soybean,2002,38.56
Gansu,wheat,2002,312.14
Guangdong,maize,2002,53.45
Guangdong,rice,2002,1202.76
Guangdong,soybean,2002,24.0
Guangdong,wheat,2002,3.2
Guangxi,maize,2002,161.0
Guangxi,rice,2002,1219.3
Guangxi,soybean,2002,40.3
Guangxi,wheat,2002,1.8
Guizhou,maize,2002,343.2
Guizhou,rice,2002,347.8
Guizhou,soybean,2002,40.8
Guizhou,wheat,2002,87.0
Hainan,maize,2002,5.07
Hainan,rice,2002,139.28
Hainan,soybean,2002,3.24
Hainan,wheat,2002,
Hebei,maize,2002,1034.96
Hebei,rice,2002,55.73
Hebei,soybean,2002,60.56
Hebei,wheat,2002,1099.54
Heilongjiang,maize,2002,1070.5
Heilongjiang,rice,2002,921.0
Heilongjiang,soybean,2002,610.7
Heilongjiang,wheat,2002,89.4
Henan,maize,2002,1189.76
Henan,rice,2002,336.45
Henan,soybean,2002,115.38
Henan,wheat,2002,2248.39
Hubei,maize,2002,187.41
Hubei,rice,2002,1469.79
Hubei,soybean,2002,64.71
Hubei,wheat,2002,151.17
Hunan,maize,2002,119.17
Hunan,rice,2002,2119.15
Hunan,soybean,2002,61.2
Hunan,wheat,2002,18.34
Inner_Mongolia,maize,2002,821.52
Inner_Mongolia,rice,2002,55.99
Inner_Mongolia,soybean,2002,139.89
Inner_Mongolia,wheat,2002,121.49
Jiangsu,maize,2002,261.68
Jiangsu,rice,2002,1709.87
Jiangsu,soybean,2002,105.9
Jiangsu,wheat,2002,644.45
Jiangxi,maize,2002,5.53
Jiangxi,rice,2002,1451.6
Jiangxi,soybean,2002,29.93
Jiangxi,wheat,2002,4.31
Jilin,maize,2002,1540.0
Jilin,rice,2002,370.0
Jilin,soybean,2002,184.96
Jilin,wheat,2002,7.94
Liaoning,maize,2002,858.0
Liaoning,rice,2002,406.2
Liaoning,soybean,2002,56.9
Liaoning,wheat,2002,11.5
Ningxia,maize,2002,104.3
Ningxia,rice,2002,66.7
Ningxia,soybean,2002,10.0
Ningxia,wheat,2002,96.1
Qinghai,maize,2002,1.2
Qinghai,rice,2002,0.0
Qinghai,soybean,2002,10.9
Qinghai,wheat,2002,45.2
Shaanxi,maize,2002,374.5
Shaanxi,rice,2002,80.3
Shaanxi,soybean,2002,30.7
Shaanxi,wheat,2002,405.3
Shandong,maize,2002,1316.03
Shandong,rice,2002,109.36
Shandong,soybean,2002,76.41
Shandong,wheat,2002,1547.06
Shanghai,maize,2002,2.98
Shanghai,rice,2002,109.24
Shanghai,soybean,2002,3.48
Shanghai,wheat,2002,10.37
Shanxi,maize,2002,435.29
Shanxi,rice,2002,2.01
Shanxi,soybean,2002,49.42
Shanxi,wheat,2002,243.15
Sichuan,maize,2002,525.1
Sichuan,rice,2002,1503.7
Sichuan,soybean,2002,106.7
Sichuan,wheat,2002,459.1
Tianjin,maize,2002,71.05
Tianjin,rice,2002,11.22
Tianjin,soybean,2002,5.65
Tianjin,wheat,2002,44.11
Tibet,maize,2002,1.68
Tibet,rice,2002,0.58
Tibet,soybean,2002,3.44
Tibet,wheat,2002,27.83
Xinjiang,maize,2002,332.9
Xinjiang,rice,2002,59.32
Xinjiang,soybean,2002,26.39
Xinjiang,wheat,2002,382.67
Yunnan,maize,2002,461.5
Yunnan,rice,2002,543.2
Yunnan,soybean,2002,93.63
Yunnan,wheat,2002,134.11
Zhejiang,maize,2002,22.32
Zhejiang,rice,2002,779.64
Zhejiang,soybean,2002,41.87
Zhejiang,wheat,2002,25.43
Anhui,maize,2003,260.6
Anhui,rice,2003,963.7
Anhui,soybean,2003,120.35
Anhui,wheat,2003,642.8
Beijing,maize,2003,32.2
Beijing,rice,2003,1.01
Beijing,soybean,2003,3.14
Beijing,wheat,2003,18.41
Chongqing,maize,2003,207.0
Chongqing,rice,2003,497.14
Chongqing,soybean,2003,32.21
Chongqing,wheat,2003,83.8
Fujian,maize,2003,11.62
Fujian,rice,2003,523.44
Fujian,soybean,2003,25.17
Fujian,wheat,2003,2.77
Gansu,maize,2003,244.43
Gansu,rice,2003,3.58
Gansu,soybean,2003,39.0
Gansu,wheat,2003,272.46
Guangdong,maize,2003,53.13
Guangdong,rice,2003,1170.5
Guangdong,soybean,2003,21.84
Guangdong,wheat,2003,1.63
Guangxi,maize,2003,159.7
Guangxi,rice,2003,1202.7
Guangxi,soybean,2003,39.19
Guangxi,wheat,2003,1.74
Guizhou,maize,2003,319.9
Guizhou,rice,2003,459.3
Guizhou,soybean,2003,39.3
Guizhou,wheat,2003,74.6
Hainan,maize,2003,6.14
Hainan,rice,2003,143.4
Hainan,soybean,2003,3.27
Hainan,wheat,2003,
Hebei,maize,2003,1073.57
Hebei,rice,2003,41.06
Hebei,soybean,2003,60.61
Hebei,wheat,2003,1018.83
Heilongjiang,maize,2003,830.9
Heilongjiang,rice,2003,842.8
Heilongjiang,soybean,2003,616.1
Heilongjiang,wheat,2003,39.7
Henan,maize,2003,766.31
Henan,rice,2003,240.17
Henan,soybean,2003,72.72
Henan,wheat,2003,2292.5
Hubei,maize,2003,167.5
Hubei,rice,2003,1341.29
Hubei,soybean,2003,67.08
Hubei,wheat,2003,165.42
Hunan,maize,2003,128.55
Hunan,rice,2003,2070.18
Hunan,soybean,2003,56.11
Hunan,wheat,2003,16.49
Inner_Mongolia,maize,2003,888.7
Inner_Mongolia,rice,2003,45.0
Inner_Mongolia,soybean,2003,93.87
Inner_Mongolia,wheat,2003,78.96
Jiangsu,maize,2003,197.25
Jiangsu,rice,2003,1404.64
Jiangsu,soybean,2003,95.34
Jiangsu,wheat,2003,608.71
Jiangxi,maize,2003,6.27
Jiangxi,rice,2003,1360.54
Jiangxi,soybean,2003,26.8
Jiangxi,wheat,2003,2.89
Jilin,maize,2003,1615.3
Jilin,rice,2003,318.2
Jilin,soybean,2003,191.1
Jilin,wheat,2003,6.0
Liaoning,maize,2003,907.2
Liaoning,rice,2003,351.4
Liaoning,soybean,2003,71.0
Liaoning,wheat,2003,6.2
Ningxia,maize,2003,119.93
Ningxia,rice,2003,37.04
Ningxia,soybean,2003,8.57
Ningxia,wheat,2003,75.61
Qinghai,maize,2003,
