i,t,c,sys,stage,value
Anhui,2004,maize,summer,sowing,25.111559139677418
Anhui,2004,rice,single,growing,28.332244009084967
Anhui,2004,rice,single,harvesting,21.840277778064518
Anhui,2004,rice,single,sowing,22.170601851
Anhui,2004,soybean,single,growing,30.043100845869567
Anhui,2004,soybean,single,harvesting,24.0894808747541
Anhui,2004,soybean,single,sowing,25.111559139677418
Anhui,2004,wheat,winter,growing,14.718160376962263
Anhui,2004,wheat,winter,harvesting,27.93055555566667
Anhui,2004,wheat,winter,sowing,23.761953552131146
Anhui,2005,maize,spring,growing,29.186141304239133
Anhui,2005,maize,spring,harvesting,28.414202509032258
Anhui,2005,maize,spring,sowing,18.49043715904918
Anhui,2005,maize,summer,growing,30.263360507608695
Anhui,2005,maize,summer,harvesting,23.859061929836063
Anhui,2005,maize,summer,sowing,25.21729390548387
Anhui,2005,rice,single,growing,28.59409041372549
Anhui,2005,rice,single,harvesting,20.853942651290325
Anhui,2005,rice,single,sowing,23.584953704333333
Anhui,2005,soybean,single,growing,30.263360507608695
Anhui,2005,soybean,single,harvesting,23.859061929836063
Anhui,2005,soybean,single,sowing,25.21729390548387
Anhui,2005,wheat,winter,growing,14.198356807469484
Anhui,2005,wheat,winter,harvesting,31.482870370666667
Anhui,2005,wheat,winter,sowing,24.0894808747541
Anhui,2006,maize,spring,growing,28.85394021684783
Anhui,2006,maize,spring,harvesting,31.93749999967742
Anhui,2006,maize,spring,sowing,18.964708560983606
Anhui,2006,maize,summer,growing,31.033891907826085
Anhui,2006,maize,summer,harvesting,24.65346083770492
Anhui,2006,maize,summer,sowing,25.46796594903226
Anhui,2006,rice,single,growing,28.76030319490196
Anhui,2006,rice,single,harvesting,24.134184587741935
Anhui,2006,rice,single,sowing,21.4245370372
Anhui,2006,soybean,single,growing,31.033891907826085
Anhui,2006,soybean,single,harvesting,24.65346083770492
Anhui,2006,soybean,single,sowing,25.46796594903226
Anhui,2006,wheat,winter,growing,14.50226021998585
Anhui,2006,wheat,winter,harvesting,30.32754629633333
Anhui,2006,wheat,winter,sowing,23.859061929836063
Anhui,2007,maize,spring,growing,28.90458937173913
Anhui,2007,maize,spring,harvesting,30.945340501935483
Anhui,2007,maize,spring,sowing,17.58538251362295
Anhui,2007,maize,summer,growing,29.84254227054348
Anhui,2007,maize,summer,harvesting,23.83230874327869
Anhui,2007,maize,summer,sowing,28.16173835064516
Anhui,2007,rice,single,growing,28.80637254888889
Anhui,2007,rice,single,harvesting,21.449148745806454
Anhui,2007,rice,single,sowing,20.493518518
Anhui,2007,soybean,single,growing,29.84254227054348
Anhui,2007,soybean,single,harvesting,23.83230874327869
Anhui,2007,soybean,single,sowing,28.16173835064516
Anhui,2007,wheat,winter,growing,15.474482442306604
Anhui,2007,wheat,winter,harvesting,28.185416666
Anhui,2007,wheat,winter,sowing,24.65346083770492
Anhui,2008,maize,spring,growing,28.304876207608697
Anhui,2008,maize,spring,harvesting,29.677195340645163
Anhui,2008,maize,spring,sowing,18.198656648901636
Anhui,2008,maize,summer,growing,29.240338164456524
Anhui,2008,maize,summer,harvesting,24.31454918032787
Anhui,2008,maize,summer,sowing,26.900985662258066
Anhui,2008,rice,single,growing,28.284086782875818
Anhui,2008,rice,single,harvesting,21.927867383225806
Anhui,2008,rice,single,sowing,19.899768519000002
Anhui,2008,soybean,single,growing,29.240338164456524
Anhui,2008,soybean,single,harvesting,24.31454918032787
Anhui,2008,soybean,single,sowing,26.900985662258066
Anhui,2008,wheat,winter,growing,19.845562543943394
Anhui,2008,wheat,winter,harvesting,26.861342593333333
Anhui,2008,wheat,winter,sowing,23.83230874327869
Anhui,2009,maize,spring,growing,28.929800725108695
Anhui,2009,maize,spring,harvesting,29.620519712903228
Anhui,2009,maize,spring,sowing,17.485997267967214
Anhui,2009,maize,summer,growing,30.294610507608695
Anhui,2009,maize,summer,harvesting,24.94023224114754
Anhui,2009,maize,summer,sowing,25.570116487419355
Anhui,2009,rice,single,growing,28.45343137287582
Anhui,2009,rice,single,harvesting,24.121191757096774
Anhui,2009,rice,single,sowing,21.082638889000002
Anhui,2009,soybean,single,growing,30.294610507608695
Anhui,2009,soybean,single,harvesting,24.94023224114754
Anhui,2009,soybean,single,sowing,25.570116487419355
Anhui,2009,wheat,winter,growing,14.698161189394366
Anhui,2009,wheat,winter,harvesting,30.415972222666667
Anhui,2009,wheat,winter,sowing,24.31454918032787
Anhui,2010,maize,spring,growing,27.86964070021739
Anhui,2010,maize,spring,harvesting,31.574372760322582
Anhui,2010,maize,spring,sowing,14.639344262688525
Anhui,2010,maize,summer,growing,30.16508152173913
Anhui,2010,maize,summer,harvesting,23.439663023442623
Anhui,2010,maize,summer,sowing,24.76209677387097
Anhui,2010,rice,single,growing,28.30623638333333
Anhui,2010,rice,single,harvesting,20.70250896032258
Anhui,2010,rice,single,sowing,16.8895833344
Anhui,2010,soybean,single,growing,30.16508152173913
Anhui,2010,soybean,single,harvesting,23.439663023442623
Anhui,2010,soybean,single,sowing,24.76209677387097
Anhui,2010,wheat,winter,growing,12.728609800839624
Anhui,2010,wheat,winter,harvesting,28.252083333333335
Anhui,2010,wheat,winter,sowing,24.94023224114754
Anhui,2011,maize,spring,growing,28.344353864891303
Anhui,2011,maize,spring,harvesting,29.061379929032256
Anhui,2011,maize,spring,sowing,17.715960837311478
Anhui,2011,maize,summer,growing,29.481959541521743
Anhui,2011,maize,summer,harvesting,22.736908014590167
Anhui,2011,maize,summer,sowing,25.685259856451612
Anhui,2011,rice,single,growing,27.814860203660132
Anhui,2011,rice,single,harvesting,20.640681003225808
Anhui,2011,rice,single,sowing,21.790277776999996
Anhui,2011,soybean,single,growing,29.481959541521743
Anhui,2011,soybean,single,harvesting,22.736908014590167
Anhui,2011,soybean,single,sowing,25.685259856451612
Anhui,2011,wheat,winter,growing,14.560174266132075
Anhui,2011,wheat,winter,harvesting,28.418750000333333
Anhui,2011,wheat,winter,sowing,23.439663023442623
Anhui,2012,maize,spring,growing,29.170063406195656
Anhui,2012,maize,spring,harvesting,29.985439067419357
Anhui,2012,maize,spring,sowing,17.176115665114754
Anhui,2012,maize,summer,growing,30.61752717402174
Anhui,2012,maize,summer,harvesting,24.043146630983607
Anhui,2012,maize,summer,sowing,25.689740143548388
Anhui,2012,rice,single,growing,28.690858751111108
Anhui,2012,rice,single,harvesting,22.26209677516129
Anhui,2012,rice,single,sowing,22.302083333666666
Anhui,2012,soybean,single,growing,30.61752717402174
Anhui,2012,soybean,single,harvesting,24.043146630983607
Anhui,2012,soybean,single,sowing,25.689740143548388
Anhui,2012,wheat,winter,growing,13.592013889080189
Anhui,2012,wheat,winter,harvesting,29.465046296333334
Anhui,2012,wheat,winter,sowing,22.736908014590167
Anhui,2013,maize,spring,growing,28.554725241304347
Anhui,2013,maize,spring,harvesting,33.209901434193554
Anhui,2013,maize,spring,sowing,18.457422586508198
Anhui,2013,maize,summer,growing,31.224788647282608
Anhui,2013,maize,summer,harvesting,23.932832422295082
Anhui,2013,maize,summer,sowing,25.285842293870967
Anhui,2013,rice,single,growing,29.00204248366013
Anhui,2013,rice,single,harvesting,21.907482078064515
Anhui,2013,rice,single,sowing,20.9631944441
Anhui,2013,soybean,single,growing,31.224788647282608
Anhui,2013,soybean,single,harvesting,23.932832422295082
Anhui,2013,soybean,single,sowing,25.285842293870967
Anhui,2013,wheat,winter,growing,13.840411812276995
Anhui,2013,wheat,winter,harvesting,28.059722222
Anhui,2013,wheat,winter,sowing,24.043146630983607
Anhui,2014,maize,spring,growing,28.29445954097826
Anhui,2014,maize,spring,harvesting,27.883512544193547
Anhui,2014,maize,spring,sowing,17.916211293508194
Anhui,2014,maize,summer,growing,28.848203502173913
Anhui,2014,maize,summer,harvesting,23.87591074622951
Anhui,2014,maize,summer,sowing,26.240143369032257
Anhui,2014,rice,single,growing,27.62014342745098
Anhui,2014,rice,single,harvesting,22.51702508903226
Anhui,2014,rice,single,sowing,19.76504629633333
Anhui,2014,soybean,single,growing,28.848203502173913
Anhui,2014,soybean,single,harvesting,23.87591074622951
Anhui,2014,soybean,single,sowing,26.240143369032257
Anhui,2014,wheat,winter,growing,14.810993186603772
Anhui,2014,wheat,winter,harvesting,28.231712963
Anhui,2014,wheat,winter,sowing,23.932832422295082
Anhui,2015,maize,spring,growing,26.70682367152174
Anhui,2015,maize,spring,harvesting,29.453629031935485
Anhui,2015,maize,spring,sowing,16.780737705360657
Anhui,2015,maize,summer,growing,28.28087258456522
Anhui,2015,maize,summer,harvesting,23.946948998196724
Anhui,2015,maize,summer,sowing,24.78225806419355
Anhui,2015,rice,single,growing,27.109386347058823
Anhui,2015,rice,single,harvesting,22.0360663083871
Anhui,2015,rice,single,sowing,19.434259260133334
Anhui,2015,soybean,single,growing,28.28087258456522
Anhui,2015,soybean,single,harvesting,23.946948998196724
Anhui,2015,soybean,single,sowing,24.78225806419355
Anhui,2015,wheat,winter,growing,14.34859800848585
Anhui,2015,wheat,winter,harvesting,26.913888889000003
Anhui,2015,wheat,winter,sowing,23.87591074622951
Anhui,2016,maize,spring,growing,26.845863526956524
Anhui,2016,maize,spring,harvesting,31.654569891290322
Anhui,2016,maize,spring,sowing,17.614867941786887
Anhui,2016,maize,summer,growing,29.675271739021742
Anhui,2016,maize,summer,harvesting,23.31215847
Anhui,2016,maize,summer,sowing,23.257616487741938
Anhui,2016,rice,single,growing,27.984749455228755
Anhui,2016,rice,single,harvesting,19.08019713322581
Anhui,2016,rice,single,sowing,20.477777778
Anhui,2016,soybean,single,growing,29.675271739021742
Anhui,2016,soybean,single,harvesting,23.31215847
Anhui,2016,soybean,single,sowing,23.257616487741938
Anhui,2016,wheat,winter,growing,13.638102725396227
Anhui,2016,wheat,winter,harvesting,27.000694445
Anhui,2016,wheat,winter,sowing,23.946948998196724
Anhui,2017,maize,spring,growing,28.751585145
Anhui,2017,maize,spring,harvesting,29.89228110548387
Anhui,2017,maize,spring,sowing,17.45753642962295
Anhui,2017,maize,summer,growing,29.9504938748913
Anhui,2017,maize,summer,harvesting,21.988550611147538
Anhui,2017,maize,summer,sowing,26.334229390967742
Anhui,2017,rice,single,growing,28.266190735424836
Anhui,2017,rice,single,harvesting,18.980030721612906
Anhui,2017,rice,single,sowing,21.437962962433335
Anhui,2017,soybean,single,growing,29.9504938748913
Anhui,2017,soybean,single,harvesting,21.988550611147538
Anhui,2017,soybean,single,sowing,26.334229390967742
Anhui,2017,wheat,winter,growing,14.80640323428169
Anhui,2017,wheat,winter,harvesting,27.553703704
Anhui,2017,wheat,winter,sowing,23.31215847
Anhui,2018,maize,spring,growing,28.614205917826087
Anhui,2018,maize,spring,harvesting,30.796434971935483
Anhui,2018,maize,spring,sowing,18.931954202213113
Anhui,2018,maize,summer,growing,30.575806590760866
Anhui,2018,maize,summer,harvesting,23.892483086065575
Anhui,2018,maize,summer,sowing,24.97491039419355
Anhui,2018,rice,single,growing,28.672028996732028
Anhui,2018,rice,single,harvesting,21.21991807483871
Anhui,2018,rice,single,sowing,21.58835978753333
Anhui,2018,soybean,single,growing,30.575806590760866
Anhui,2018,soybean,single,harvesting,23.892483086065575
Anhui,2018,soybean,single,sowing,24.97491039419355
Anhui,2018,wheat,winter,growing,14.314095724575472
Anhui,2018,wheat,winter,harvesting,29.022354497666665
Anhui,2018,wheat,winter,sowing,21.988550611147538
Anhui,2019,maize,spring,growing,28.43702553478261
Anhui,2019,maize,spring,harvesting,31.197644648709677
Anhui,2019,maize,spring,sowing,17.968806922213112
Anhui,2019,maize,summer,growing,30.45747066891304
Anhui,2019,maize,summer,harvesting,24.646874187213115
Anhui,2019,maize,summer,sowing,25.20148489580645
Anhui,2019,rice,single,growing,28.794013901830066
Anhui,2019,rice,single,harvesting,21.977694572580646
Anhui,2019,rice,single,sowing,20.526190476666667
Anhui,2019,soybean,single,growing,30.45747066891304
Anhui,2019,soybean,single,harvesting,24.646874187213115
Anhui,2019,soybean,single,sowing,25.20148489580645
Anhui,2019,wheat,winter,growing,13.680695942221698
Anhui,2019,wheat,winter,harvesting,28.849735448999997
Anhui,2019,wheat,winter,sowing,23.892483086065575
Anhui,2020,maize,spring,growing,29.40345712554348
Anhui,2020,maize,spring,harvesting,33.15053763580645
Anhui,2020,maize,spring,sowing,19.508326827426227
Anhui,2020,maize,summer,growing,30.69950181195652
Anhui,2020,maize,summer,harvesting,24.827397215409835
Anhui,2020,maize,summer,sowing,29.30421146967742
Anhui,2020,rice,single,growing,29.953878773856207
Anhui,2020,rice,single,harvesting,21.429435483870968
Anhui,2020,rice,single,sowing,21.491931216333334
Anhui,2020,soybean,single,growing,30.69950181195652
Anhui,2020,soybean,single,harvesting,24.827397215409835
Anhui,2020,soybean,single,sowing,29.30421146967742
Anhui,2020,wheat,winter,growing,16.94400456707547
Anhui,2020,wheat,winter,harvesting,29.941666666333333
Anhui,2020,wheat,winter,sowing,24.646874187213115
Anhui,2021,maize,spring,growing,30.01071859880435
Anhui,2021,maize,spring,harvesting,30.596326165483873
Anhui,2021,maize,spring,sowing,18.277208560737705
Anhui,2021,maize,summer,growing,31.086956521847824
Anhui,2021,maize,summer,harvesting,26.23576958147541
Anhui,2021,maize,summer,sowing,27.40232974870968
Anhui,2021,rice,single,growing,30.259985475686275
Anhui,2021,rice,single,harvesting,21.93794802935484
Anhui,2021,rice,single,sowing,20.21574074
Anhui,2021,soybean,single,growing,31.086956521847824
Anhui,2021,soybean,single,harvesting,26.23576958147541
Anhui,2021,soybean,single,sowing,27.40232974870968
Anhui,2021,wheat,winter,growing,16.46852721247418
Anhui,2021,wheat,winter,harvesting,31.38842592533333
Anhui,2021,wheat,winter,sowing,24.827397215409835
Anhui,2022,maize,spring,growing,30.923007246521742
Anhui,2022,maize,spring,harvesting,34.329589093225806
Anhui,2022,maize,spring,sowing,21.058954592508197
Anhui,2022,maize,summer,growing,33.60931030032609
Anhui,2022,maize,summer,harvesting,25.128268930163937
Anhui,2022,maize,summer,sowing,26.357334869032258
Anhui,2022,rice,single,growing,31.186592229346406
Anhui,2022,rice,single,harvesting,21.626120071612906
Anhui,2022,rice,single,sowing,23.226818783333332
Anhui,2022,soybean,single,growing,33.60931030032609
Anhui,2022,soybean,single,harvesting,25.128268930163937
Anhui,2022,soybean,single,sowing,26.357334869032258
Anhui,2022,wheat,winter,growing,16.4842439727783
Anhui,2022,wheat,winter,harvesting,32.579960318333335
Anhui,2022,wheat,winter,sowing,26.23576958147541
Beijing,1997,maize,spring,growing,29.79106280152174
Beijing,1997,maize,spring,harvesting,31.58602150516129
Beijing,1997,maize,spring,sowing,17.397085610016394
Beijing,1997,maize,summer,growing,31.847222221847826
Beijing,1997,maize,summer,harvesting,22.29417122065574
Beijing,1997,maize,summer,sowing,25.483870967419353
Beijing,1997,rice,single,growing,29.108206245228757
Beijing,1997,rice,single,harvesting,20.20430107548387
Beijing,1997,rice,single,sowing,20.822222222033336
Beijing,1997,soybean,single,growing,31.847222221847826
Beijing,1997,soybean,single,harvesting,22.29417122065574
Beijing,1997,soybean,single,sowing,25.483870967419353
Beijing,1998,maize,spring,growing,28.61111111097826
Beijing,1998,maize,spring,harvesting,30.06451612903226
Beijing,1998,maize,spring,sowing,16.776867030803277
Beijing,1998,maize,summer,growing,30.100845410543478
Beijing,1998,maize,summer,harvesting,23.94899817852459
Beijing,1998,maize,summer,sowing,25.64336917548387
Beijing,1998,rice,single,growing,28.770152505359476
Beijing,1998,rice,single,harvesting,20.105734767096774
Beijing,1998,rice,single,sowing,20.42962962933333
Beijing,1998,soybean,single,growing,30.100845410543478
Beijing,1998,soybean,single,harvesting,23.94899817852459
Beijing,1998,soybean,single,sowing,25.64336917548387
Beijing,1998,wheat,winter,growing,11.52384696009434
Beijing,1998,wheat,winter,harvesting,29.377777777666665
Beijing,1998,wheat,winter,sowing,22.29417122065574
Beijing,1999,maize,spring,growing,30.032608695434785
Beijing,1999,maize,spring,harvesting,30.722222222580644
Beijing,1999,maize,spring,sowing,14.647540983491803
Beijing,1999,maize,summer,growing,31.80736714967391
Beijing,1999,maize,summer,harvesting,22.367030965245903
Beijing,1999,maize,summer,sowing,25.455197132580647
Beijing,1999,rice,single,growing,29.354756717385623
Beijing,1999,rice,single,harvesting,18.983870967741936
Beijing,1999,rice,single,sowing,20.3055555553
Beijing,1999,soybean,single,growing,31.80736714967391
Beijing,1999,soybean,single,harvesting,22.367030965245903
Beijing,1999,soybean,single,sowing,25.455197132580647
Beijing,1999,wheat,winter,growing,11.747248427636793
Beijing,1999,wheat,winter,harvesting,31.33703703666667
Beijing,1999,wheat,winter,sowing,23.94899817852459
Beijing,2000,maize,spring,growing,31.517512077391302
Beijing,2000,maize,spring,harvesting,30.519713261935486
Beijing,2000,maize,spring,sowing,17.017304189393442
Beijing,2000,maize,summer,growing,32.705917874565216
Beijing,2000,maize,summer,harvesting,22.743169398688526
Beijing,2000,maize,summer,sowing,26.99283154129032
Beijing,2000,rice,single,growing,30.606027596274508
Beijing,2000,rice,single,harvesting,17.752688171935482
Beijing,2000,rice,single,sowing,20.157407407333334
Beijing,2000,soybean,single,growing,32.705917874565216
Beijing,2000,soybean,single,harvesting,22.743169398688526
Beijing,2000,soybean,single,sowing,26.99283154129032
Beijing,2000,wheat,winter,growing,11.328092243183962
Beijing,2000,wheat,winter,harvesting,33.016666666666666
Beijing,2000,wheat,winter,sowing,22.367030965245903
Beijing,2001,maize,spring,growing,30.83031400956522
Beijing,2001,maize,spring,harvesting,30.747311827741935
Beijing,2001,maize,spring,sowing,16.78051001822951
Beijing,2001,maize,summer,growing,31.23067632847826
Beijing,2001,maize,summer,harvesting,22.98269581032787
Beijing,2001,maize,summer,sowing,29.55913978451613
Beijing,2001,rice,single,growing,30.033042846601305
Beijing,2001,rice,single,harvesting,19.240143369032257
Beijing,2001,rice,single,sowing,20.270370370333335
Beijing,2001,soybean,single,growing,31.23067632847826
Beijing,2001,soybean,single,harvesting,22.98269581032787
Beijing,2001,soybean,single,sowing,29.55913978451613
Beijing,2001,wheat,winter,growing,11.103025560718311
Beijing,2001,wheat,winter,harvesting,30.80925925933333
Beijing,2001,wheat,winter,sowing,22.743169398688526
Beijing,2002,maize,spring,growing,29.634057971086957
Beijing,2002,maize,spring,harvesting,30.62007168451613
Beijing,2002,maize,spring,sowing,17.836976320491804
Beijing,2002,maize,summer,growing,30.454106280217392
Beijing,2002,maize,summer,harvesting,21.504553733704917
Beijing,2002,maize,summer,sowing,28.186379928387094
Beijing,2002,rice,single,growing,29.34713144509804
Beijing,2002,rice,single,harvesting,16.039426523096772
Beijing,2002,rice,single,sowing,19.685185185
Beijing,2002,soybean,single,growing,30.454106280217392
Beijing,2002,soybean,single,harvesting,21.504553733704917
Beijing,2002,soybean,single,sowing,28.186379928387094
Beijing,2002,wheat,winter,growing,13.308176100566037
Beijing,2002,wheat,winter,harvesting,28.042592592666665
Beijing,2002,wheat,winter,sowing,22.98269581032787
Beijing,2003,maize,spring,growing,29.264492753369563
Beijing,2003,maize,spring,harvesting,31.63978494612903
Beijing,2003,maize,spring,sowing,15.869763205918034
Beijing,2003,maize,summer,growing,30.95591787413043
Beijing,2003,maize,summer,harvesting,21.98360655721311
Beijing,2003,maize,summer,sowing,26.62007168451613
Beijing,2003,rice,single,growing,28.963689179150325
Beijing,2003,rice,single,harvesting,18.797491039354842
Beijing,2003,rice,single,sowing,20.8055555557
Beijing,2003,soybean,single,growing,30.95591787413043
Beijing,2003,soybean,single,harvesting,21.98360655721311
Beijing,2003,soybean,single,sowing,26.62007168451613
Beijing,2003,wheat,winter,growing,10.794811320787735
Beijing,2003,wheat,winter,harvesting,30.303703703333333
Beijing,2003,wheat,winter,sowing,21.504553733704917
Beijing,2004,maize,spring,growing,28.897342995108694
Beijing,2004,maize,spring,harvesting,29.35663082451613
Beijing,2004,maize,spring,sowing,17.539162113081968
Beijing,2004,maize,summer,growing,30.062801932391306
Beijing,2004,maize,summer,harvesting,23.736794171311477
Beijing,2004,maize,summer,sowing,25.897849462258062
Beijing,2004,rice,single,growing,28.659767610784318
Beijing,2004,rice,single,harvesting,20.374551971290323
Beijing,2004,rice,single,sowing,22.15
Beijing,2004,soybean,single,growing,30.062801932391306
Beijing,2004,soybean,single,harvesting,23.736794171311477
Beijing,2004,soybean,single,sowing,25.897849462258062
Beijing,2004,wheat,winter,growing,12.1897274632783
Beijing,2004,wheat,winter,harvesting,30.45740740766667
Beijing,2004,wheat,winter,sowing,21.98360655721311
Beijing,2005,maize,spring,growing,29.850241545978264
Beijing,2005,maize,spring,harvesting,30.356630824193548
Beijing,2005,maize,spring,sowing,17.36156648447541
Beijing,2005,maize,summer,growing,31.52173913043478
Beijing,2005,maize,summer,harvesting,24.011839708688523
Beijing,2005,maize,summer,sowing,25.396057347741934
Beijing,2005,rice,single,growing,29.44153957882353
Beijing,2005,rice,single,harvesting,20.88530465967742
Beijing,2005,rice,single,sowing,22.455555555333333
Beijing,2005,soybean,single,growing,31.52173913043478
Beijing,2005,soybean,single,harvesting,24.011839708688523
Beijing,2005,soybean,single,sowing,25.396057347741934
Beijing,2005,wheat,winter,growing,11.413145539901409
Beijing,2005,wheat,winter,harvesting,31.509259259
Beijing,2005,wheat,winter,sowing,23.736794171311477
Beijing,2006,maize,spring,growing,29.07125603869565
Beijing,2006,maize,spring,harvesting,30.711469534193547
Beijing,2006,maize,spring,sowing,16.844262294918035
Beijing,2006,maize,summer,growing,30.72101449282609
Beijing,2006,maize,summer,harvesting,24.683060109344265
Beijing,2006,maize,summer,sowing,25.81541218645161
Beijing,2006,rice,single,growing,29.184095860718955
Beijing,2006,rice,single,harvesting,21.519713261290324
Beijing,2006,rice,single,sowing,19.351851851666666
Beijing,2006,soybean,single,growing,30.72101449282609
Beijing,2006,soybean,single,harvesting,24.683060109344265
Beijing,2006,soybean,single,sowing,25.81541218645161
Beijing,2006,wheat,winter,growing,11.718815513584907
Beijing,2006,wheat,winter,harvesting,31.727777778
Beijing,2006,wheat,winter,sowing,24.011839708688523
Beijing,2007,maize,spring,growing,30.428140096413042
Beijing,2007,maize,spring,harvesting,31.659498208064516
Beijing,2007,maize,spring,sowing,15.789617486295082
Beijing,2007,maize,summer,growing,31.47644927521739
Beijing,2007,maize,summer,harvesting,23.204918032786885
