i,c,t,s,k,exposure
Anhui,rice,2006,historical,compound,-0.41333873540505245
Anhui,rice,2006,historical,drought,0.8499831603944408
Anhui,rice,2006,historical,heat,-0.19986265209849
Anhui,rice,2007,historical,compound,-0.41333873540505245
Anhui,rice,2007,historical,drought,0.32636717418999533
Anhui,rice,2007,historical,heat,-0.3967356235521924
Anhui,rice,2008,historical,compound,-0.7803446123140764
Anhui,rice,2008,historical,drought,-0.5304724548792041
Anhui,rice,2008,historical,heat,-0.5886857621230565
Anhui,rice,2009,historical,compound,-0.3725603046373831
Anhui,rice,2009,historical,drought,1.4471413292074924
Anhui,rice,2009,historical,heat,-0.3310440478044874
Anhui,rice,2010,historical,compound,-0.5356740277080604
Anhui,rice,2010,historical,drought,-0.5251875659157218
Anhui,rice,2010,historical,heat,-0.21257324539051262
Anhui,rice,2011,historical,compound,0.0381140250603178
Anhui,rice,2011,historical,drought,1.453683052251839
Anhui,rice,2011,historical,heat,0.4931899445761396
Anhui,rice,2012,historical,compound,-0.08711128926369788
Anhui,rice,2012,historical,drought,1.6712645744580341
Anhui,rice,2012,historical,heat,-0.2335154615030359
Anhui,rice,2013,historical,compound,0.6483454755648538
Anhui,rice,2013,historical,drought,1.9535298453902579
Anhui,rice,2013,historical,heat,0.25753443067307913
Anhui,rice,2014,historical,compound,-0.45411716617272174
Anhui,rice,2014,historical,drought,-1.2528840518459783
Anhui,rice,2014,historical,heat,-0.6150350245946474
Anhui,rice,2015,historical,compound,-0.861901473849415
Anhui,rice,2015,historical,drought,-1.1958031270070701
Anhui,rice,2015,historical,heat,-0.8020623301083568
Anhui,rice,2016,historical,compound,-0.49489559694039115
Anhui,rice,2016,historical,drought,-4.0411270758367
Anhui,rice,2016,historical,heat,-0.31922117834730207
Anhui,rice,2017,historical,compound,-0.41333873540505245
Anhui,rice,2017,historical,drought,-1.1955361400710058
Anhui,rice,2017,historical,heat,-0.3000082948831412
Anhui,rice,2018,historical,compound,-0.25022501233437516
Anhui,rice,2018,historical,drought,0.1758558546797715
Anhui,rice,2018,historical,heat,-0.26737002646457186
Anhui,rice,2019,historical,compound,0.37300372089078254
Anhui,rice,2019,historical,drought,0.8945058544015474
Anhui,rice,2019,historical,heat,-0.2124341136333131
Anhui,rice,2020,historical,compound,-0.04633285849602855
Anhui,rice,2020,historical,drought,-0.6181479047476205
Anhui,rice,2020,historical,heat,-0.01517570939566748
Anhui,rice,2021,historical,compound,1.2232291513745224
Anhui,rice,2021,historical,drought,-0.5998035244057552
Anhui,rice,2021,historical,heat,0.8948183118092031
Anhui,rice,2022,historical,compound,1.8146910914903343
Anhui,rice,2022,historical,drought,2.0514976646148466
Anhui,rice,2022,historical,heat,3.0778360335587904
Anhui,soybean,1997,historical,compound,-0.011877989489825084
Anhui,soybean,1997,historical,drought,1.4452505934336524
Anhui,soybean,1997,historical,heat,-0.18811044878683778
Anhui,soybean,1998,historical,compound,-0.30334242863435795
Anhui,soybean,1998,historical,drought,-0.3442997281435483
Anhui,soybean,1998,historical,heat,-0.26280475782985896
Anhui,soybean,1999,historical,compound,0.01945596458262634
Anhui,soybean,1999,historical,drought,-1.4145274300025796
Anhui,soybean,1999,historical,heat,-0.053160497722073895
Anhui,soybean,2000,historical,compound,0.28725189202898
Anhui,soybean,2000,historical,drought,-0.1657725425095248
Anhui,soybean,2000,historical,heat,0.35095554790538736
Anhui,soybean,2001,historical,compound,-0.3455341490739851
Anhui,soybean,2001,historical,drought,2.0425027056992375
Anhui,soybean,2001,historical,heat,-0.20281250129010234
Anhui,soybean,2002,historical,compound,1.0980405237750346
Anhui,soybean,2002,historical,drought,-0.6154215414154474
Anhui,soybean,2002,historical,heat,0.03860804941144702
Anhui,soybean,2003,historical,compound,-0.5907302783041705
Anhui,soybean,2003,historical,drought,-1.0519526694670056
Anhui,soybean,2003,historical,heat,-0.48452793308677106
Anhui,soybean,2004,historical,compound,-0.29266911026737663
Anhui,soybean,2004,historical,drought,0.4024101058242017
Anhui,soybean,2004,historical,heat,-0.35637702557401174
Anhui,soybean,2005,historical,compound,-0.35087771648404037
Anhui,soybean,2005,historical,drought,-0.1985775567859407
Anhui,soybean,2005,historical,heat,-0.09941900008091155
Anhui,soybean,2006,historical,compound,-0.3568409564086339
Anhui,soybean,2006,historical,drought,0.8907605875603958
Anhui,soybean,2006,historical,heat,-0.25373356518021567
Anhui,soybean,2007,historical,compound,0.08726917568426022
Anhui,soybean,2007,historical,drought,0.4781776992050985
Anhui,soybean,2007,historical,heat,0.2414009952133541
Anhui,soybean,2008,historical,compound,-0.5384849120121004
Anhui,soybean,2008,historical,drought,-0.19028273049065877
Anhui,soybean,2008,historical,heat,-0.45289552790139953
Anhui,soybean,2009,historical,compound,-0.043647168076619836
