k
n_days
pr_sum_mm
pr_mean_mm_day
dry_days_lt1mm
tmean_mean_c
tmax_mean_c
tmin_mean_c
rsds_mean_wm2
wind_mean_ms
rh_mean_pct
vpd_mean_kpa
gdd10_cday
hdd30_cday
hot_days_30
hot_days_35
hot_dry_days_30_1mm
hot_dry_days_35_1mm
dry_day_share
hot_day_share_30
hot_day_share_35
hot_dry_share_30_1mm
hot_dry_share_35_1mm
pr_sum_z
vpd_mean_z
hdd30_z
hot_dry_z
drought_metric
heat_metric
compound_metric
